,Video Name,Arena,Trial Duration(Second),Last Modified Date,Animal id,Treatment,Side of partner,Timepoint,Sex,Cohort,Timeofday,Pair,Color,Novel,huddle time partner,huddle time novel,huddle time total,percent phuddle,chamber time partner,chamber time novel,chamber time center,latency partner huddle,latency novel huddle
54,CSIVideo_2022_7_13_11_18_31.mpg,1,9000,11/4/2022 9:16,4918,FM,left,ST,F,3,am,4918x4967,O,4957,2916.82,648.08,3564.9,0.818205279,4832.77,3471.1,2496.13,136.24,28.63
57,CSIVideo_2022_7_13_11_18_31.mpg,4,9000,11/4/2022 9:17,923,FM,right,ST,M,3,am,4947x923,B,4979,2416.22,428.19,2844.41,0.84946263,5951.38,2139.11,2709.51,70.9,44.64
56,CSIVideo_2022_7_13_11_18_31.mpg,3,9000,11/4/2022 9:17,4916,FM,left,ST,M,3,am,4940x4916,B,4966,1825.06,18.49,1843.55,0.989970437,4636.67,3987.15,2176.18,230.63,10.24
55,CSIVideo_2022_7_13_11_18_31.mpg,2,9000,11/4/2022 9:17,4968,FM,right,ST,F,3,am,4968x4931,O,4945,7042.98,73.44,7116.42,0.989680204,7965.33,685.65,2149.02,87.92,265.37
61,CSIVideo_2022_7_13_11_18_31.mpg,8,9000,11/4/2022 9:19,4917,MM,right,ST,M,3,am,4917x4932,O,4946,912.58,47.61,960.19,0.950416063,7658.16,886.52,2255.32,1777.74,435.84
58,CSIVideo_2022_7_13_11_18_31.mpg,5,9000,11/4/2022 9:19,4919,FF,left,ST,F,3,am,4919x4933,O,4964,1745.78,523.16,2268.94,0.76942537,5005.37,2511.01,3283.62,241.24,20.82
59,CSIVideo_2022_7_13_11_18_31.mpg,6,9000,11/4/2022 9:19,4969,FF,right,ST,F,3,am,4914x4969,B,4978,0,986.35,986.35,0,41.74,6876.11,3882.15, ,2491.39
60,CSIVideo_2022_7_13_11_18_31.mpg,7,9000,11/4/2022 9:19,4970,MM,left,ST,M,3,am,4908x4970,B,4948,5170.04,25.29,5195.33,0.995132167,7953.89,282.08,2564.03,518.22,1273.11
1,CSIVideo_2022_5_18_10_44_6.mpg,2,9000,11/4/2022 9:22,4887,FM,right,ST,F,1,am,4887x4882,O,4957,5697.56,238.1,5935.66,0.959886516,7474.27,1022.59,2303.14,167.93,60.73
2,CSIVideo_2022_5_18_10_44_6.mpg,3,9000,11/4/2022 9:22,4889,FM,left,ST,M,1,am,4903x4889,B,4979,2126.53,25.49,2152.02,0.988155315,5650.78,2120.42,3028.8,157.16,2883.05
0,CSIVideo_2022_5_18_10_44_6.mpg,1,9000,11/4/2022 9:22,4895,FM,left,ST,F,1,am,4895x4881,O,4945,5176.81,19.25,5196.06,0.99629527,7870.7,415.92,2513.38,108.94,97.6
4,CSIVideo_2022_5_18_10_44_6.mpg,5,9000,11/4/2022 9:23,4892,FF,left,ST,F,1,am,4892x4902,O,4977,3897.43,4.47,3901.9,0.998854404,7277.11,449.55,3073.34,816.12,4087.52
3,CSIVideo_2022_5_18_10_44_6.mpg,4,9000,11/4/2022 9:23,4897,FM,right,ST,M,1,am,921x4897,B,4926,3486.65,14.91,3501.56,0.995741898,6786.05,904.87,3109.08,95.4,35.5
7,CSIVideo_2022_5_18_10_44_6.mpg,8,9000,11/4/2022 9:24,4884,MM,right,ST,M,1,am,4884x4906,O,4987,5312.55,1.3,5313.85,0.999755356,7410.14,481.35,2908.51,63.53,98.5
5,CSIVideo_2022_5_18_10_44_6.mpg,6,9000,11/4/2022 9:24,4886,FF,right,ST,F,1,am,922x4886,B,4964,3388.59,44.08,3432.67,0.987158684,7647.85,724.29,2427.86,393.56,114.91
6,CSIVideo_2022_5_18_10_44_6.mpg,7,9000,11/4/2022 9:24,4899,MM,left,ST,M,1,am,4890x4899,B,4961,36.6,303.54,340.14,0.107602752,2111.21,6668.07,2020.72,7829.76,40.24
8,CSIVideo_2022_5_18_15_54_6.mpg,1,9000,11/4/2022 9:25,4881,FM,right,ST,M,1,pm,4895x4881,B,4965,4966.67,113.58,5080.25,0.977642833,7418.72,1031.8,2349.48,128.23,23.52
9,CSIVideo_2022_5_18_15_54_6.mpg,2,9000,11/4/2022 9:25,4882,FM,left,ST,M,1,pm,4887x4882,B,4978,1090.26,463.73,1553.99,0.701587526,4506.64,2326.53,3966.83,43.94,336.17
11,CSIVideo_2022_5_18_15_54_6.mpg,4,9000,11/4/2022 9:26,921,FM,left,ST,F,1,pm,921x4897,O,4984,4536.44,116.35,4652.79,0.974993499,7183.02,997.76,2619.22,36.9,1088.76
10,CSIVideo_2022_5_18_15_54_6.mpg,3,9000,11/4/2022 9:26,4903,FM,right,ST,F,1,pm,4903x4889,O,4959,2887.82,948.21,3836.03,0.752814759,5349.72,2416.38,3033.9,279.18,95.9
13,CSIVideo_2022_5_18_15_54_6.mpg,6,9000,11/4/2022 9:27,922,FF,left,ST,F,1,pm,922x4886,O,4927,4240.04,482.75,4722.79,0.897782878,7366.5,1424.09,2009.41,611.24,53.42
14,CSIVideo_2022_5_18_15_54_6.mpg,7,9000,11/4/2022 9:27,4890,MM,right,ST,M,1,pm,4890x4899,O,4946,7636.57,39.14,7675.71,0.994900797,8385.95,547.85,1866.2,13.58,145.25
12,CSIVideo_2022_5_18_15_54_6.mpg,5,9000,11/4/2022 9:27,4902,FF,right,ST,F,1,pm,4892x4902,B,4966,5255.06,241.24,5496.3,0.956108655,6508.41,1590.12,2701.47,60.63,161.39
32,CSIVideo_2022_5_30_11_11_40.mpg,1,9000,11/4/2022 9:28,4895,FM,left,LT,F,1,am,4895x4881,O,4957,5768.27,108.94,5877.21,0.981463994,7854.85,719.69,2225.46,345.48,34.37
15,CSIVideo_2022_5_18_15_54_6.mpg,8,9000,11/4/2022 9:28,4906,MM,left,ST,M,1,pm,4884x4906,B,4948,5602.74,129.23,5731.97,0.977454523,6635.4,1601.87,2562.73,95.96,68.27
34,CSIVideo_2022_5_30_11_11_40.mpg,3,9000,11/4/2022 9:29,4886,FF,right,LT,F,1,am,922x4886,B,4966,4805.07,253.65,5058.72,0.949858858,6700.3,1421.96,2677.74,28.76,231.97
33,CSIVideo_2022_5_30_11_11_40.mpg,2,9000,11/4/2022 9:29,4889,FM,left,LT,M,1,am,4903x4889,B,4977,3164.46,55.16,3219.62,0.982867543,5374.74,2425.96,2999.3,10.14,22.89
36,CSIVideo_2022_5_30_15_29_11.mpg,1,9000,11/4/2022 9:30,4881,FM,right,LT,M,1,pm,4895x4881,B,4964,3754.19,56.32,3810.51,0.985219826,6618.28,743.81,3437.91,114.61,27.79
35,CSIVideo_2022_5_30_11_11_40.mpg,4,9000,11/4/2022 9:30,4899,MM,left,LT,M,1,am,4890x4899,B,4948,8.21,24.52,32.73,0.250840208,1990.12,6747.65,2062.23,9.94,27.96
38,CSIVideo_2022_5_30_15_29_11.mpg,3,9000,11/4/2022 9:31,922,FF,left,LT,F,1,pm,922x4886,O,4926,3784.08,950.88,4734.96,0.799178874,6180.95,2381.68,2237.37,23.69,267
39,CSIVideo_2022_5_30_15_29_11.mpg,4,9000,11/4/2022 9:31,4890,MM,right,LT,M,1,pm,4890x4899,O,4987,0.8,157.02,157.82,0.005069066,48.31,8802.84,1948.85,2336.77,32.63
37,CSIVideo_2022_5_30_15_29_11.mpg,2,9000,11/4/2022 9:31,4903,FM,right,LT,F,1,pm,4903x4889,O,4946,4688.79,48.92,4737.71,0.989674336,7276.31,839.64,2684.05,5.87,62.1
