Gene,C,Z,Pval,FDR,Module
Ctss,0.9473736712384903,3209.5789347171394,0.0,0.0,1.0
Cst3,0.9138684821090521,3039.594485486732,0.0,0.0,1.0
Cx3cr1,0.9350321767936655,3015.878828517656,0.0,0.0,1.0
C1qb,0.8819000712686089,2814.6077694386704,0.0,0.0,1.0
Plp1,0.9671874979426919,2789.804106944847,0.0,0.0,3.0
Ptgds,0.955319599764845,2707.707759828491,0.0,0.0,3.0
Slc1a2,0.9473570640317187,2678.785613778824,0.0,0.0,2.0
Mbp,0.9451201443884302,2670.4052041609566,0.0,0.0,3.0
Slc1a3,0.9405296207839641,2616.6005184861906,0.0,0.0,2.0
Csf1r,0.8056705882300675,2566.647644899065,0.0,0.0,1.0
Pdgfra,0.9075454360686183,2561.462888564224,0.0,0.0,6.0
Apoe,0.9265604342011895,2545.532225817147,0.0,0.0,2.0
Cldn11,0.9319799310048709,2543.7193003682514,0.0,0.0,3.0
Atp1a2,0.8951071988177856,2457.9780994855832,0.0,0.0,2.0
Gja1,0.9018462387008611,2445.7572056450736,0.0,0.0,2.0
Gpr17,0.9047006879575226,2429.450170742455,0.0,0.0,6.0
Agt,0.8778290175164184,2295.7248215327622,0.0,0.0,2.0
C3,0.7728734373039773,2229.82465136972,0.0,0.0,1.0
P2ry12,0.6958646704928284,2215.2458166350725,0.0,0.0,1.0
Fetub,0.8665939990805117,2207.481992478351,0.0,0.0,2.0
ENSMOCG00000014634,0.7037511966188608,2178.8668939937056,0.0,0.0,1.0
Laptm5,0.6779362637670463,2155.3540596375024,0.0,0.0,1.0
Mal,0.7979069658468816,2148.8752389805927,0.0,0.0,3.0
ENSMOCG00000000187,0.7670151754362964,2126.5685371434083,0.0,0.0,6.0
Mag,0.798764920746348,2116.510644127672,0.0,0.0,3.0
Plpp3,0.7317222144319565,2033.3754194486933,0.0,0.0,2.0
Bcas1,0.7639838107323071,2007.7645395361108,0.0,0.0,6.0
Mrc1,0.7199145024739253,2001.5848553299973,0.0,0.0,1.0
Igfbpl1,0.7774173255122007,1981.30310417303,0.0,0.0,12.0
Apod,0.7596047334049106,1981.1183355938906,0.0,0.0,3.0
C1qa,0.6372182928283718,1951.0068780241438,0.0,0.0,1.0
Tubb4a,0.753148625657899,1947.3929435040723,0.0,0.0,3.0
Htra1,0.7096694379561613,1942.9923722691021,0.0,0.0,2.0
Gpr37l1,0.6952153298085223,1940.8767586722176,0.0,0.0,2.0
Slco2b1,0.6158727109647725,1937.3472660291056,0.0,0.0,1.0
Aif1,0.5951888579477123,1873.2063661599495,0.0,0.0,1.0
Col14a1,0.8848533710298643,1870.8790629471382,0.0,0.0,21.0
Sparcl1,0.7231475884061748,1838.6160713233487,0.0,0.0,2.0
Tmem119,0.5733000086214486,1805.1940888128174,0.0,0.0,1.0
Hapln2,0.6564763271138583,1794.4700404548958,0.0,0.0,3.0
Mog,0.6363970986809853,1780.2869574531703,0.0,0.0,3.0
Cspg4,0.6219707517482167,1742.1530110193523,0.0,0.0,6.0
C1qc,0.5766596996114428,1741.93864718599,0.0,0.0,1.0
Ppp1r14a,0.614308343522731,1740.497757864121,0.0,0.0,3.0
ENSMOCG00000009232,0.5555268396408805,1740.449134730934,0.0,0.0,1.0
Cryab,0.7321175533996767,1737.2504879113467,0.0,0.0,3.0
ENSMOCG00000006609,0.6559803844416717,1717.6631437797423,0.0,0.0,3.0
Ugt8a,0.6222542325730432,1699.9557591864611,0.0,0.0,3.0
