sample_id,animal,pair,sex,pair_type,SS_OS,color,age,preg,seq_cohort,beh_cohort,seq_conc,animal_order,ST_phuddle,LT_phuddle,parents,sac_order
NAc_4905_F,4905,4905x4975,F,FM,OS,O,170,N,1,4,1580,1,3978.58,3943.81,x86,6
NAc_4975_M,4975,4905x4975,M,FM,OS,B,152,NA,1,4,1750,2,6817.05,5851.85,x90,5
NAc_4918_F,4918,4918x4967,F,FM,OS,O,157,Y,1,3,1630,3,2916.82,3838.97,x89,2
NAc_4967_M,4967,4918x4967,M,FM,OS,B,147,NA,1,3,480,4,4590.46,4198.47,x95,1
NAc_4893_M,4893,4893x4910,M,MM,SS,O,118,NA,1,2,1450,5,5533.43,4350.25,x95,8
NAc_4910_M,4910,4893x4910,M,MM,SS,B,113,NA,1,2,730,6,4137.94,2443.94,x83b,7
NAc_4921_F,4921,4921x4909,F,FM,OS,O,107,Y,2,2,770,7,3909.31,6170.3,x100,2
NAc_4909_M,4909,4921x4909,M,FM,OS,B,113,NA,2,2,1610,8,3230.26,3759.76,x83b,1
NAc_4968_F,4968,4968x4931,F,FM,OS,O,147,N,2,3,790,9,7042.98,6713.68,x95,6
NAc_4931_M,4931,4968x4931,M,FM,OS,B,154,NA,2,3,1280,10,2771.04,5089.36,x87,5
NAc_4907_F,4907,4907x5228,F,FF,SS,O,170,N,2,4,540,11,2608.68,2508.41,x86,4
NAc_5228_F,5228,4907x5228,F,FF,SS,B,93,N,2,4,320,12,5096.3,4631.93,x87,3
NAc_5021_F,5021,5021x5204,F,FM,OS,O,138,Y,3,4,1070,13,2419.49,5081.51,x87,2
NAc_5204_M,5204,5021x5204,M,FM,OS,B,100,NA,3,4,1710,14,338.57,1520.89,x86,1
NAc_4940_F,4940,4940x4916,F,FM,OS,O,153,Y,3,3,1115,15,2052.29,4742.71,x94,10
NAc_4916_M,4916,4940x4916,M,FM,OS,B,157,NA,3,3,1260,16,1825.06,3694.79,x89,9
NAc_4958_F,4958,4958x4901,F,FF,SS,O,99,N,3,2,1675,17,1100.87,3940.44,x93,4
NAc_4901_F,4901,4958x4901,F,FF,SS,B,114,N,3,2,2020,18,6059.86,5540.71,x91,3
NAc_4960_F,4960,4960x4928,F,FM,OS,O,99,Y,4,2,1120,19,3005.61,3177.38,x93,6
NAc_4928_M,4928,4960x4928,M,FM,OS,B,106,NA,4,2,1350,20,965.63,5232.53,x85,5
NAc_5225_F,5225,5225x5121,F,FM,OS,O,93,Y,4,4,1065,21,6243.11,7253.45,x87,10
NAc_5121_M,5121,5225x5121,M,FM,OS,B,115,NA,4,4,1780,22,2116.12,5053.05,x94,9
NAc_4917_M,4917,4917x4932,M,MM,SS,O,157,NA,4,3,1055,23,912.58,4515.88,x89,8
NAc_4932_M,4932,4917x4932,M,MM,SS,B,154,NA,4,3,1530,24,68.3,4283.58,x87,7
NAc_5209_M,5209,5209x4974,M,MM,SS,O,100,NA,5,4,1500,25,5458.73,6676.41,x92,16
NAc_4974_M,4974,5209x4974,M,MM,SS,B,152,NA,5,4,910,26,4561.7,3827.63,x90,15
NAc_4896_F,4896,4896x4894,F,FM,OS,O,114,Y,5,2,540,27,7321.59,6079.21,x91,14
NAc_4894_M,4894,4896x4894,M,FM,OS,B,118,NA,5,2,1180,28,5511.95,3275.51,x95,13
NAc_5023_F,5023,5023x4963,F,FF,SS,O,138,N,5,4,1410,29,4485.92,4049.88,x87,12
NAc_4963_F,4963,5023x4963,F,FF,SS,B,155,N,5,4,1320,30,278.11,3153.22,x93,11
NAc_5227_F,5227,5227x5122,F,FM,OS,O,93,N,6,4,1750,31,7796.67,5905.91,x87,14
NAc_5122_M,5122,5227x5122,M,FM,OS,B,115,NA,6,4,1360,32,4811.75,4710.58,x94,13
NAc_4898_F,4898,4898x4920,F,FF,SS,O,114,N,6,2,1710,33,6478.78,6274.97,x91,12
NAc_4920_F,4920,4898x4920,F,FF,SS,B,107,N,6,2,1570,34,4148.72,4571.3,x100,11
NAc_4976_M,4976,4976x5124,M,MM,SS,O,152,NA,6,4,1020,35,5266.73,5521.82,x90,8
NAc_5124_M,5124,4976x5124,M,MM,SS,B,115,NA,6,4,1360,36,4666.67,4175.68,x94,7
NAc_4908_M,4908,4908x4970,M,MM,SS,O,162,NA,7,3,1890,37,1641.41,4185.52,x83b,16
NAc_4970_M,4970,4908x4970,M,MM,SS,B,147,NA,7,3,1320,38,5170.04,4668.07,x95,15
NAc_4947_F,4947,4947x923,F,FM,OS,O,153,Y,7,3,880,39,3515.28,6515.28,x97,14
NAc_923_M,923,4947x923,M,FM,OS,B,161,NA,7,3,850,40,2416.22,4875.34,x92,13
