animal,Module-1,Module-3,Module-2,Module-6,Module-12,Module-21,Module-19,Module-5,Module-14,Module-23,Module-22,Module-16,Module-10,Module-17,Module-4,Module-8,Module-7,Module-13,Module-11,Module-9,Module-15,Module-20,Module-18
5204,0.07225892,0.169402044,0.188585198,0.198170718,0.113575208,0.127316017,0.153596372,0.014855643,0.30865341,0.340478793,0.062123016,0.098314437,0.028962149,0.099320261,0.00603791,0.642478892,0.556039353,0.033216374,0.086124339,0.443480989,0.458341014,0.867109788,0.135261183
4910,0.060412201,0.170502623,0.161230797,0.182773113,0.105981393,0.118871804,0.127661533,0.013324357,0.318753489,0.291027282,0.071840149,0.081760784,0.03056334,0.102593483,0.008832906,0.70310053,0.525772494,0.028624535,0.079732893,0.608478142,0.677531279,0.718680297,0.121257181
4907,0.102200124,0.217887177,0.204508427,0.194588577,0.135436181,0.141717957,0.155391452,0.01838471,0.268813529,0.266239707,0.088289113,0.094236048,0.032838342,0.121532749,0.01015287,0.626073076,0.422078928,0.030408822,0.088441598,0.642726441,0.723932355,0.680981244,0.139149963
4963,0.122095613,0.254741636,0.252673269,0.232113032,0.129288938,0.114936094,0.167728526,0.018694833,0.252701346,0.276863095,0.082117906,0.09982028,0.032949937,0.111281712,0.00830739,0.662955062,0.457600769,0.031926185,0.079788085,0.445669434,0.561741991,0.779596418,0.155422854
4960,0.093817564,0.188327729,0.198672307,0.225500808,0.113661108,0.131053598,0.146441465,0.016062495,0.294880886,0.318786249,0.083152358,0.092320999,0.033049847,0.107185708,0.006852196,0.720605461,0.53858087,0.036297026,0.079613543,0.486493577,0.571314196,0.761765757,0.136765671
4894,0.066922823,0.164639317,0.17192881,0.216589929,0.124686989,0.139341591,0.134553921,0.018068146,0.334601774,0.297324043,0.089781617,0.086266841,0.029934811,0.102412762,0.008498627,0.743590668,0.540549254,0.032361216,0.081384905,0.652384706,0.635462842,0.686054976,0.13410454
4916,0.092907973,0.210249677,0.221253921,0.196469191,0.127313567,0.104198113,0.161374663,0.017673451,0.268461538,0.289171049,0.076556604,0.099281222,0.026548621,0.110881243,0.006851072,0.566451224,0.458890831,0.03245283,0.082845912,0.504313295,0.579890444,0.781894654,0.142181818
4909,0.105347439,0.248177496,0.226872625,0.21199007,0.129675748,0.128358666,0.154046864,0.018758501,0.299324289,0.289782027,0.080910757,0.096049355,0.031378764,0.096313042,0.008774022,0.678111407,0.513904852,0.033124114,0.073488951,0.441547193,0.500038342,0.778187731,0.154855208
4974,0.058519271,0.153772434,0.171288254,0.2094308,0.10438776,0.127164982,0.136075068,0.014040309,0.315518996,0.31355092,0.091714665,0.088254531,0.028680004,0.106586046,0.006181416,0.733891722,0.588735648,0.03993424,0.088588589,0.47750152,0.513770778,0.778753138,0.123373746
4918,0.077350027,0.164856941,0.215693951,0.178977723,0.132142039,0.114259606,0.15918704,0.015897394,0.271045655,0.329937468,0.059948454,0.105213549,0.034150674,0.113639782,0.010813732,0.554279447,0.480770726,0.033673359,0.082909507,0.461040518,0.487874958,0.916752577,0.137641987
