animal,Module-1,Module-3,Module-2,Module-6,Module-12,Module-21,Module-19,Module-5,Module-14,Module-23,Module-22,Module-16,Module-10,Module-17,Module-4,Module-8,Module-7,Module-13,Module-11,Module-9,Module-15,Module-20,Module-18
5204,0.03987718,0.089750777,0.09726494,0.109314694,0.069145275,0.074216444,0.090925916,0.009241588,0.175317203,0.197160642,0.031169229,0.057106225,0.017588947,0.055708135,0.004004081,0.346974401,0.301380955,0.020353367,0.053289354,0.254103168,0.252274764,0.456505498,0.083155906
4910,0.034572751,0.087543793,0.08419493,0.10138433,0.064995287,0.068982063,0.076149673,0.008384904,0.177676707,0.171019085,0.0315683,0.048525007,0.018603732,0.056189892,0.005539093,0.368286191,0.28365306,0.017597868,0.049303969,0.331460655,0.345035513,0.382710627,0.075067262
4907,0.051696467,0.107941212,0.103600063,0.107080318,0.081075797,0.083361436,0.092046942,0.011373928,0.150860229,0.156266881,0.039646438,0.055722078,0.020055538,0.066863737,0.00637245,0.329102452,0.231201814,0.018939292,0.05386865,0.341128938,0.35659733,0.365172293,0.085251793
4963,0.055554176,0.120987711,0.120280791,0.123751086,0.077930574,0.067757493,0.099607433,0.01149145,0.146160042,0.164569739,0.034555497,0.058597249,0.019680871,0.060487023,0.005354104,0.344032149,0.250262006,0.019746357,0.049807073,0.25272776,0.296337129,0.415861202,0.095324716
4960,0.045506245,0.094693129,0.099012492,0.120556567,0.06931773,0.076003744,0.087046572,0.009966109,0.16874323,0.18635025,0.033698864,0.054190158,0.019603134,0.058320951,0.004520875,0.377316978,0.292036845,0.021912051,0.049657276,0.276061131,0.306521164,0.408113977,0.08443162
4894,0.037411267,0.086868421,0.090134184,0.117040202,0.074916341,0.080835652,0.080092825,0.011184053,0.186577785,0.175468599,0.037114805,0.051370785,0.018172628,0.057474481,0.005333634,0.389726144,0.293745741,0.019822639,0.050502082,0.350233296,0.332655976,0.370229591,0.083045032
4916,0.048694792,0.105578012,0.110209769,0.108048567,0.075508744,0.061279468,0.095208685,0.010833725,0.154891954,0.169221426,0.032243584,0.057930228,0.016114117,0.059204651,0.004347889,0.306744437,0.251101145,0.020118626,0.05096312,0.281001202,0.302655102,0.415207078,0.086668101
4909,0.052423587,0.12145207,0.112679423,0.116636034,0.079288131,0.076898256,0.09386821,0.01187737,0.171029642,0.173525542,0.035252533,0.058151763,0.019095669,0.056162921,0.00576647,0.357706898,0.282265422,0.020448888,0.046854846,0.255445899,0.275019527,0.418299162,0.096632673
4974,0.03401798,0.082769068,0.088781456,0.113611056,0.063499669,0.072850956,0.080653577,0.00880666,0.179049293,0.183979303,0.036354533,0.051917514,0.017173901,0.059826205,0.004036787,0.38591693,0.313792115,0.023864114,0.054775771,0.270604053,0.278409673,0.414411119,0.076462487
4918,0.0431889,0.090237949,0.110857185,0.101706423,0.079854824,0.067967358,0.094871254,0.009965421,0.158330327,0.190691043,0.030434781,0.061426018,0.020505758,0.062172764,0.006635699,0.307123069,0.265701666,0.020886383,0.051856527,0.263416743,0.267680078,0.476133069,0.08458685
4958,0.05217844,0.125296078,0.122140705,0.115656298,0.114518112,0.063807018,0.103267618,0.01786041,0.124126267,0.152265912,0.031553328,0.059554332,0.024945974,0.064188202,0.009432246,0.28604604,0.198333832,0.023377357,0.045518983,0.259306206,0.291996925,0.388611761,0.102436578
4905,0.053085375,0.117524094,0.112418009,0.095205876,0.082926122,0.061205466,0.098716628,0.011331867,0.156777345,0.169572812,0.025556062,0.063667569,0.016129235,0.047965042,0.006546223,0.241226681,0.244606839,0.017569751,0.041015894,0.244975631,0.255512141,0.456848913,0.090228821
5023,0.040360727,0.094080636,0.097733737,0.124195602,0.073389029,0.077877477,0.084551462,0.010909637,0.183175678,0.188320775,0.03646668,0.05369632,0.017491445,0.057012647,0.00474561,0.410370839,0.313163482,0.02064359,0.051749076,0.29094708,0.286519132,0.415425415,0.08579036
